name,city,region,category,address_line1,postcode,phone,website
The Pampered Pooch,Austin,Texas,Cat and Dog Groomers,3624 Mill Road,78724,(555) 010-0119,https://example.com/the-pampered-pooch
Barks and Bubbles,Austin,Texas,Pet Spas,4510 Pine Street,78765,(555) 010-0120,https://example.com/barks-and-bubbles
Clean Canine,Austin,Texas,Self-Service Dog Wash,1322 Division Street,78720,(555) 010-0121,https://example.com/clean-canine
Pretty Paws,Austin,Texas,Show Groomers,2174 Congress Avenue,78758,(555) 010-0122,https://example.com/pretty-paws
Snip and Sniff,Austin,Texas,Self-Service Dog Wash,3829 Elm Street,78780,(555) 010-0123,https://example.com/snip-and-sniff
Furry Tails Salon,Austin,Texas,Pet Spas,4716 Broadway,78722,(555) 010-0124,https://example.com/furry-tails-salon
Hound Dog Hair,Austin,Texas,Cat and Dog Groomers,4482 Pine Street,78748,(555) 010-0125,https://example.com/hound-dog-hair
Puppy Love Salon,Austin,Texas,Cat and Dog Groomers,3838 Church Street,78700,(555) 010-0126,https://example.com/puppy-love-salon
The Wet Nose,Austin,Texas,Pet Spas,2054 Mill Road,78719,(555) 010-0127,https://example.com/the-wet-nose
Curly Coats,Austin,Texas,Cat and Dog Groomers,1348 Market Street,78707,(555) 010-0128,https://example.com/curly-coats
Sit Stay Spa,Austin,Texas,Cat and Dog Groomers,3586 Lamar Boulevard,78729,(555) 010-0129,https://example.com/sit-stay-spa
Bath and Bark,Denver,Colorado,Show Groomers,821 Riverside Drive,80228,(555) 010-0130,https://example.com/bath-and-bark
Tidy Tails,Denver,Colorado,Pet Spas,1892 Pine Street,80224,(555) 010-0131,https://example.com/tidy-tails
Whisker Wash,Denver,Colorado,Grooming Salons,4480 Congress Avenue,80275,(555) 010-0132,https://example.com/whisker-wash
Best in Show Grooming,Denver,Colorado,Grooming Salons,4217 Congress Avenue,80241,(555) 010-0133,https://example.com/best-in-show-grooming
Pooch Parlor,Denver,Colorado,Self-Service Dog Wash,2766 Cedar Avenue,80219,(555) 010-0134,https://example.com/pooch-parlor
Mutt Cuts,Denver,Colorado,Mobile Groomers,900 Market Street,80224,(555) 010-0135,https://example.com/mutt-cuts
Doodle Dandy,Portland,Oregon,Cat and Dog Groomers,4474 Elm Street,97254,(555) 010-0136,https://example.com/doodle-dandy
Shear Delight,Portland,Oregon,Pet Spas,299 Riverside Drive,97293,(555) 010-0137,https://example.com/shear-delight
Lucky Dog Spa,Portland,Oregon,Mobile Groomers,3626 Hawthorne Boulevard,97226,(555) 010-0138,https://example.com/lucky-dog-spa
Rovers Retreat,Portland,Oregon,Show Groomers,3012 Hawthorne Boulevard,97224,(555) 010-0139,https://example.com/rovers-retreat
Bow Wow Beauty,Portland,Oregon,Grooming Salons,2236 Congress Avenue,97232,(555) 010-0140,https://example.com/bow-wow-beauty
Canine Clippers,Nashville,Tennessee,Self-Service Dog Wash,1158 Lamar Boulevard,37296,(555) 010-0141,https://example.com/canine-clippers
Four Paws Salon,Nashville,Tennessee,Grooming Salons,4348 Broadway,37296,(555) 010-0142,https://example.com/four-paws-salon
Glamour Pups,Nashville,Tennessee,Self-Service Dog Wash,2863 Hawthorne Boulevard,37265,(555) 010-0143,https://example.com/glamour-pups
The Shampooch,Nashville,Tennessee,Pet Spas,1541 Riverside Drive,37263,(555) 010-0144,https://example.com/the-shampooch
Wash and Wag,Madison,Wisconsin,Grooming Salons,1761 Lamar Boulevard,53728,(555) 010-0145,https://example.com/wash-and-wag
Pup Scrubs,Madison,Wisconsin,Self-Service Dog Wash,773 Church Street,53737,(555) 010-0146,https://example.com/pup-scrubs
Dapper Paws,Madison,Wisconsin,Pet Spas,4376 Elm Street,53773,(555) 010-0147,https://example.com/dapper-paws
Golden Coat Salon,Madison,Wisconsin,Pet Spas,197 Lamar Boulevard,53768,(555) 010-0148,https://example.com/golden-coat-salon
Trim and Tidy,Springfield,Illinois,Self-Service Dog Wash,1265 Hawthorne Boulevard,62771,(555) 010-0149,https://example.com/trim-and-tidy
Mobile Mutt Spa,Springfield,Illinois,Self-Service Dog Wash,708 Lamar Boulevard,62702,(555) 010-0150,https://example.com/mobile-mutt-spa
Silky Paws,Springfield,Illinois,Pet Spas,945 Church Street,62732,(555) 010-0151,https://example.com/silky-paws
Barkingham Palace,Springfield,Missouri,Self-Service Dog Wash,2581 Hawthorne Boulevard,65879,(555) 010-0152,https://example.com/barkingham-palace
Fetching Fur,Springfield,Missouri,Show Groomers,601 Main Street,65808,(555) 010-0153,https://example.com/fetching-fur
The Bark Bath,Springfield,Missouri,Pet Spas,492 Main Street,65832,(555) 010-0154,https://example.com/the-bark-bath
Poodle Parlor,Boise,Idaho,Self-Service Dog Wash,1133 Hawthorne Boulevard,83766,(555) 010-0155,https://example.com/poodle-parlor
Coat Check Grooming,Boise,Idaho,Mobile Groomers,4435 Main Street,83735,(555) 010-0156,https://example.com/coat-check-grooming
Waggin Wheels Mobile,Boise,Idaho,Show Groomers,310 Market Street,83763,(555) 010-0157,https://example.com/waggin-wheels-mobile
Sudsy Pup,Tucson,Arizona,Pet Spas,4662 Elm Street,85700,(555) 010-0158,https://example.com/sudsy-pup
Shine and Shed,Tucson,Arizona,Show Groomers,1819 Pearl Street,85730,(555) 010-0159,https://example.com/shine-and-shed
Pawfect Cuts,Tucson,Arizona,Pet Spas,3320 Pine Street,85758,(555) 010-0160,https://example.com/pawfect-cuts
Clipper Canine,Asheville,North Carolina,Cat and Dog Groomers,1026 Division Street,28845,(555) 010-0161,https://example.com/clipper-canine
Hydro Hound Wash,Asheville,North Carolina,Pet Spas,1803 Lamar Boulevard,28807,(555) 010-0162,https://example.com/hydro-hound-wash
Velvet Paws,Santa Fe,New Mexico,Pet Spas,1945 Broadway,87587,(555) 010-0163,https://example.com/velvet-paws
Tail End Grooming,Burlington,Vermont,Self-Service Dog Wash,839 Market Street,05462,(555) 010-0164,https://example.com/tail-end-grooming
